Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60398E+12,29/10/2020 15:08,1.60398E+12,1,29/10/2020 16:08,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-1,slightly disagree
3,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-1-quantised,3
4,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-7,slightly disagree
5,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-7-quantised,3
6,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-5,slightly agree
7,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-5-quantised,2
8,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-2,slightly agree
9,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-2-quantised,2
10,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-6,definitely agree
11,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-6-quantised,1
12,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-9,slightly disagree
13,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-9-quantised,3
14,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-4,definitely disagree
15,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-4-quantised,4
16,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,catch_3,yes
17,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,catch_3-quantised,1
18,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-8,slightly agree
19,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-8-quantised,2
20,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-10,definitely agree
21,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-10-quantised,1
22,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-3,definitely disagree
23,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,AQ-3-quantised,4
24,1.60398E+12,29/10/2020 15:09,1.60398E+12,1,29/10/2020 16:09,12022,41,questionnaire-ch2f,,7509485,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Menta-first,No,END QUESTIONNAIRE,61144
1,1.60398E+12,29/10/2020 15:09,1.60398E+12,0,29/10/2020 15:09,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-1,definitely agree
3,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-1-quantised,1
4,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-7,slightly agree
5,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-7-quantised,2
6,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-5,slightly disagree
7,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-5-quantised,3
8,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-2,definitely disagree
9,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-2-quantised,4
10,1.60398E+12,29/10/2020 15:13,1.60398E+12,0,29/10/2020 15:13,12022,41,questionnaire-ch2f,,7509517,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,AQ-10,8,Meta-first,No,AQ-6,slightly agree
